locationID,locationName,city,state,latitude,longitude
76,"Beaver Stadium, University Park, PA",University Park,PA,40.8087493,-77.8585662
77,"Jonah Field at War Memorial Stadium, Laramie, WY",Laramie,WY,41.311367,-105.591101
78,"Cajun Field, Lafayette, LA",Lafayette,LA,30.2240897,-92.0198427
79,"Lane Stadium, Blacksburg, VA",Blacksburg,VA,37.2296566,-80.4136767
80,"Yulman Stadium, New Orleans, LA",New Orleans,LA,29.9759983,-90.0782127
81,"Sun Bowl, El Paso, TX",El Paso,TX,31.7754152,-106.464634
82,"Arizona Stadium, Tucson, AZ",Tucson,AZ,32.2228765,-110.9748477
83,"LaVell Edwards Stadium, Provo, UT",Provo,UT,40.2338438,-111.6585337
84,"Rose Bowl, Pasadena, CA",Pasadena,CA,34.1476452,-118.1444779
85,"SHI Stadium, Piscataway, NJ",Piscataway,NJ,40.5462553,-74.4660408
86,"CEFCU Stadium, San Jose, CA",San Jose,CA,37.3361905,-121.890583
87,"Camping World Stadium, Orlando, FL",Orlando,FL,28.5421109,-81.3790304
88,"Wallace Wade Stadium, Durham, NC",Durham,NC,35.996653,-78.9018053
89,"Cardinal Stadium, Louisville, KY",Louisville,KY,38.2542376,-85.759407
90,"Bulldog Stadium (CA), Fresno, CA",Fresno,CA,36.7394421,-119.7848307
91,"University Stadium (NM), Albuquerque, NM",Albuquerque,NM,35.0841034,-106.650985
92,"Maverik Stadium, Logan, UT",Logan,UT,41.7313447,-111.8348631
93,"Michie Stadium, West Point, NY",West Point,NY,41.3875623,-73.96418970621724
94,"Folsom Field, Boulder, CO",Boulder,CO,40.0149856,-105.270545
95,"Ohio Stadium, Columbus, OH",Columbus,OH,39.9622601,-83.0007065
96,"Carter-Finley Stadium, Raleigh, NC",Raleigh,NC,35.7803977,-78.6390989
97,"Scott Stadium, Charlottesville, VA",Charlottesville,VA,38.029306,-78.4766781
98,"Bobby Dodd Stadium, Atlanta, GA",Atlanta,GA,33.7489924,-84.3902644
99,"Kelly/Shorts Stadium, Mount Pleasant, MI",Mount Pleasant,MI,33.1570582,-94.9694007
100,"Doyt L. Perry Stadium, Bowling Green, OH",Bowling Green,OH,41.3747744,-83.6513229
101,"Memorial Stadium (Clemson, SC), Clemson, SC",Clemson,SC,34.6850749,-82.8364111
102,"Ryan Field, Evanston, IL",Evanston,IL,42.0447388,-87.6930459
103,"Warren McGuirk Alumni Stadium, Amherst, MA",Amherst,MA,42.3685658,-72.505714
104,"Alamodome, San Antonio, TX",San Antonio,TX,29.4246002,-98.4951405
105,"Navy-Marine Corps Memorial Stadium, Annapolis, MD",Annapolis,MD,38.9786401,-76.492786
106,"Huskie Stadium, DeKalb, IL",DeKalb,IL,41.9295371,-88.7503776
107,"Glass Bowl, Toledo, OH",Toledo,OH,41.6529143,-83.5378173
108,"Razorback Stadium, Fayetteville, AR",Fayetteville,AR,36.0625843,-94.1574328
109,"Dowdy-Ficklen Stadium, Greenville, NC",Greenville,NC,35.613224,-77.3724593
110,"Neyland Stadium, Knoxville, TN",Knoxville,TN,35.9603948,-83.9210261
111,"Hancock Whitney Stadium, Mobile, AL",Mobile,AL,30.6943566,-88.0430541
112,"Kenan Stadium, Chapel Hill, NC",Chapel Hill,NC,35.9131542,-79.05578
113,"Milan Puskar Stadium, Morgantown, WV",Morgantown,WV,39.6296809,-79.9559437
114,"S.B. Ballard Stadium, Norfolk, VA",Norfolk,VA,36.8968052,-76.2602336
115,"InfoCision Stadium, Akron, OH",Akron,OH,41.083064,-81.518485
116,"UB Stadium, Buffalo, NY",Buffalo,NY,42.8867166,-78.8783922
117,"Brooks Stadium (SC), Conway, SC",Conway,SC,33.8360035,-79.0478143
118,"Jones AT&T Stadium, Lubbock, TX",Lubbock,TX,33.5635206,-101.879336
119,"Albertsons Stadium, Boise, ID",Boise,ID,43.6166163,-116.200886
120,"Rice Stadium, Houston, TX",Houston,TX,29.7589382,-95.3676974
121,"Raymond James Stadium, Tampa, FL",Tampa,FL,27.9477595,-82.458444
122,"Centennial Bank Stadium, Jonesboro, AR",Jonesboro,AR,35.8428646,-90.7034522
123,"Mackay Stadium, Reno, NV",Reno,NV,39.5261206,-119.8126581
124,"Ben Hill Griffin Stadium, Gainesville, FL",Gainesville,FL,29.6519684,-82.3249846
125,"Tiger Stadium (LA), Baton Rouge, LA",Baton Rouge,LA,30.4459596,-91.18738
126,"Williams-Brice Stadium, Columbia, SC",Columbia,SC,34.0007493,-81.0343313
127,"Martin Stadium, Pullman, WA",Pullman,WA,46.7304268,-117.173895
128,"NRG Stadium, Houston, TX",Houston,TX,29.7589382,-95.3676974
129,"Doak Campbell Stadium, Tallahassee, FL",Tallahassee,FL,30.4380832,-84.2809332
130,"Reser Stadium, Corvallis, OR",Corvallis,OR,44.5645659,-123.2620435
131,"California Memorial Stadium, Berkeley, CA",Berkeley,CA,37.8708393,-122.272863
132,"Lucas Oil Stadium, Indianapolis, IN",Indianapolis,IN,39.7683331,-86.1583502
133,"Dix Stadium, Kent, OH",Kent,OH,41.1536674,-81.357886
134,"Scheumann Stadium, Muncie, IN",Muncie,IN,40.1936892,-85.3865271
135,"Johnny ""Red"" Floyd Stadium, Murfreesboro, TN",Murfreesboro,TN,35.8460396,-86.3921096
136,"Memorial Stadium (Lincoln, NE), Lincoln, NE",Lincoln,NE,40.8088861,-96.7077751
137,"Bobcat Stadium (TX), San Marcos, TX",San Marcos,TX,29.8826436,-97.9405828
138,"Stanford Stadium, Stanford, CA",Stanford,CA,37.427467,-122.1702445
139,"The Dome at America's Center, Saint Louis, MO",Saint Louis,MO,38.6264256,-90.1995853
140,"Yager Stadium, Oxford, OH",Oxford,OH,39.5103048,-84.7420519
141,"AT&T Stadium, Arlington, TX",Arlington,TX,32.7355816,-97.1071186
142,"Cotton Bowl, Dallas, TX",Dallas,TX,32.7762719,-96.7968559
143,"Elliott T. Bowers Stadium, Huntsville, TX",Huntsville,TX,30.7235263,-95.5507771
144,"TIAA Bank Field, Jacksonville, FL",Jacksonville,FL,30.3321838,-81.655651
145,"Wrigley Field, Chicago, IL",Chicago,IL,41.8755616,-87.6244212
146,"Empower Field at Mile High, Denver, CO",Denver,CO,39.7392364,-104.9848623
147,"Yankee Stadium, Bronx, NY",Bronx,NY,40.8466508,-73.8785937
148,"Ford Field, Detroit, MI",Detroit,MI,42.3315509,-83.0466403
